Name,CLs,CDs,CMs,Xtr_Top,Xtr_Bot,CLmax,Score,Failure_Reason
sd7084.dat,"[0.1, 0.3]","[array([0.00553384, 0.00464124])]","[array([-0.04825092, -0.04329966])]","[array([0.75266131, 0.60246505])]","[array([0.34743137, 0.92307051])]",1.2435352971835407,-10.056401001672093,None
hq259b.dat,"[0.1, 0.3]","[array([0.0066096 , 0.00474731])]","[array([-0.08220294, -0.08434226])]","[array([0.80829514, 0.77134848])]","[array([0.06789605, 0.62206023])]",1.4135964722894117,-10.077417090914643,None
hq2590sm.dat,"[0.1, 0.3]","[array([0.0066096 , 0.00474732])]","[array([-0.08220294, -0.08434219])]","[array([0.80829528, 0.77134854])]","[array([0.06789606, 0.62205873])]",1.4135953878049023,-10.077428110765755,None
naca64209.dat,"[0.1, 0.3]","[array([0.00454783, 0.00464201])]","[array([-0.04196119, -0.04292511])]","[array([0.73993217, 0.67015207])]","[array([0.67428162, 0.74986332])]",0.8451959053512186,-10.079044764675956,None
ag36.dat,"[0.1, 0.3]","[array([0.00604238, 0.00475292])]","[array([-0.04608491, -0.04369895])]","[array([0.71237703, 0.56002791])]","[array([0.21822717, 0.99068034])]",1.2773398727056227,-10.080648907312455,None
mh44.dat,"[0.1, 0.3]","[array([0.00476492, 0.00505501])]","[array([-0.00245065, -0.01366462])]","[array([0.60472778, 0.5066676 ])]","[array([0.75922117, 0.99968727])]",1.1766615131240024,-10.083842414823742,None
mh26.dat,"[0.1, 0.3]","[array([0.00432046, 0.00451522])]","[array([-0.03397274, -0.03001322])]","[array([0.89788572, 0.81616323])]","[array([0.91100745, 0.93848154])]",1.01400995256963,-10.113212772238764,None
s3014.dat,"[0.1, 0.3]","[array([0.00590501, 0.00452168])]","[array([-0.04089271, -0.03876288])]","[array([0.72379917, 0.63378413])]","[array([0.28500451, 0.95558533])]",1.2670037139580534,-10.114856535816507,None
naca1410.dat,"[0.1, 0.3]","[array([0.00470063, 0.00503557])]","[array([-0.02617508, -0.02249802])]","[array([0.70871402, 0.52552274])]","[array([0.67088713, 0.95322413])]",1.2034456668210347,-10.128678992795415,None
ssca09.dat,"[0.1, 0.3]","[array([0.00437284, 0.00575676])]","[array([-0.00675967, -0.00657154])]","[array([0.76404633, 0.35314277])]","[array([0.82746114, 0.93768394])]",1.2571255848640759,-10.135274523390091,None
s7012.dat,"[0.1, 0.3]","[array([0.00537321, 0.00498364])]","[array([-0.05777731, -0.0574821 ])]","[array([0.69637677, 0.57778166])]","[array([0.4073789 , 0.74573792])]",1.1496744368911218,-10.17011299499901,None
mh20.dat,"[0.1, 0.3]","[array([0.00455897, 0.00489583])]","[array([-0.00306081, -0.01602689])]","[array([0.62567783, 0.58628497])]","[array([0.96002609, 0.99999837])]",0.970292277277725,-10.173925764106237,None
naca63a210.dat,"[0.1, 0.3]","[array([0.00465988, 0.00465302])]","[array([-0.04091955, -0.04118111])]","[array([0.75705653, 0.69082394])]","[array([0.66336105, 0.74761368])]",0.9859532193132646,-10.175417103376867,None
sg6041.dat,"[0.1, 0.3]","[array([0.00592771, 0.0044272 ])]","[array([-0.06377083, -0.05992136])]","[array([0.83962725, 0.76851286])]","[array([0.22005149, 0.77460065])]",1.2720749400917435,-10.1906610889538,None
tempest3.dat,"[0.1, 0.3]","[array([0.00412365, 0.00457128])]","[array([-0.01677485, -0.01779937])]","[array([0.76008758, 0.65290382])]","[array([0.88716713, 0.95649414])]",0.8799290426706774,-10.192386094574939,None
c141d.dat,"[0.1, 0.3]","[array([0.00553798, 0.00442139])]","[array([-0.05578775, -0.050287  ])]","[array([0.87264254, 0.76302547])]","[array([0.4080012 , 0.87768143])]",1.288368711364083,-10.208918155629897,None
mh60.dat,"[0.1, 0.3]","[array([0.0050429 , 0.00494262])]","[array([-2.07839108e-05, -6.29972579e-03])]","[array([0.58224134, 0.5030677 ])]","[array([0.6599312 , 0.99480953])]",1.2080837147755297,-10.21852334037099,None
sc20612.dat,"[0.1, 0.3]","[array([0.00537316, 0.00524876])]","[array([-0.1137014 , -0.11666477])]","[array([0.94059242, 0.88134862])]","[array([0.54427295, 0.6335291 ])]",1.4418760693136943,-10.233663577771118,None
n5h10.dat,"[0.1, 0.3]","[array([0.00466435, 0.00483798])]","[array([0.00806103, 0.00946849])]","[array([0.64791405, 0.61259865])]","[array([0.89062969, 0.92418878])]",1.0710656437198554,-10.235491610932886,None
vr1.dat,"[0.1, 0.3]","[array([0.00477137, 0.00472054])]","[array([-0.03574572, -0.0334741 ])]","[array([0.73250285, 0.65185888])]","[array([0.67686358, 0.86971013])]",1.1837625650654553,-10.239716825161192,None
hq1511.dat,"[0.1, 0.3]","[array([0.00495968, 0.00501028])]","[array([-0.04553622, -0.04573571])]","[array([0.72683172, 0.66229438])]","[array([0.62614575, 0.71323163])]",1.250730854495007,-10.247064650954599,None
hq1010.dat,"[0.1, 0.3]","[array([0.00472857, 0.00491426])]","[array([-0.03020331, -0.02989185])]","[array([0.72215905, 0.62394377])]","[array([0.67980783, 0.75005816])]",1.0714783354225033,-10.250417022543322,None
naca65209.dat,"[0.1, 0.3]","[array([0.00443687, 0.00451576])]","[array([-0.04224139, -0.04348846])]","[array([0.76140893, 0.71550332])]","[array([0.72120192, 0.77125733])]",0.746143013182103,-10.266762651172076,None
naca2410.dat,"[0.1, 0.3]","[array([0.00571681, 0.00472639])]","[array([-0.05317026, -0.05045822])]","[array([0.75731747, 0.64044985])]","[array([0.34527044, 0.86098246])]",1.318092059204725,-10.269295295709153,None
goe566.dat,"[0.1, 0.3]","[array([0.00657448, 0.00437105])]","[array([-0.05373754, -0.04880032])]","[array([0.77765434, 0.70161774])]","[array([0.07969797, 0.89726416])]",1.3102234241338322,-10.273189631193091,None
s8055.dat,"[0.1, 0.3]","[array([0.00496557, 0.00473043])]","[array([-0.04141495, -0.04067402])]","[array([0.75786771, 0.70330254])]","[array([0.65489511, 0.8026955 ])]",1.3017650566401748,-10.306733206061605,None
naca64a210.dat,"[0.1, 0.3]","[array([0.00464845, 0.00464334])]","[array([-0.04112207, -0.04153538])]","[array([0.75756263, 0.69864727])]","[array([0.6712323 , 0.74857565])]",0.9476559771322539,-10.326951642000878,None
sa7035.dat,"[0.1, 0.3]","[array([0.00643536, 0.00466424])]","[array([-0.06275407, -0.06086083])]","[array([0.76454534, 0.65337522])]","[array([0.10929503, 0.72699711])]",1.353405081498459,-10.332965173587862,None
rg15a111.dat,"[0.1, 0.3]","[array([0.00505229, 0.00503409])]","[array([-0.06165123, -0.05998182])]","[array([0.74779289, 0.64021819])]","[array([0.55604249, 0.72520137])]",1.2885043715514986,-10.340862323141273,None
ag35.dat,"[0.1, 0.3]","[array([0.0060971 , 0.00481602])]","[array([-0.04654123, -0.04395484])]","[array([0.70600232, 0.5550984 ])]","[array([0.23457143, 0.97913121])]",1.307845340327713,-10.368993442362683,None
raf28.dat,"[0.1, 0.3]","[array([0.00525632, 0.00463073])]","[array([-0.04585425, -0.04266226])]","[array([0.71901674, 0.63284001])]","[array([0.50811057, 0.94664655])]",1.1206065763400712,-10.369972645413863,None
rae5212.dat,"[0.1, 0.3]","[array([0.00506236, 0.00521524])]","[array([-0.07324294, -0.07192094])]","[array([0.80954956, 0.73857446])]","[array([0.56202311, 0.60798598])]",1.3801435752531526,-10.375706864991836,None
e222.dat,"[0.1, 0.3]","[array([0.00571312, 0.00504197])]","[array([-0.09408599, -0.09207016])]","[array([0.85431597, 0.74194412])]","[array([0.2679332 , 0.54561037])]",1.2969255258110197,-10.39950946478857,None
goe565.dat,"[0.1, 0.3]","[array([0.00637781, 0.00513675])]","[array([-0.08536782, -0.0835935 ])]","[array([0.86988498, 0.77922747])]","[array([0.07539848, 0.40067829])]",1.33453032926209,-10.411113983023142,None
s7075.dat,"[0.1, 0.3]","[array([0.0065867, 0.0050634])]","[array([-0.09404327, -0.09287439])]","[array([0.87762058, 0.81614139])]","[array([0.05171053, 0.431812  ])]",1.417369473898707,-10.418846313387668,None
